slot_id,entry_hour,exit_hour,day_of_week,is_weekend,occupied
44,6,9,0,0,0
92,14,18,2,0,1
30,17,21,2,0,1
93,17,21,2,0,0
46,19,22,5,1,1
6,8,12,1,0,0
99,23,2,6,1,0
37,1,4,1,0,0
24,7,9,1,0,0
93,19,21,3,0,1
46,1,3,0,0,0
53,10,14,5,1,1
95,6,9,4,0,0
99,5,9,5,1,0
60,9,12,2,0,1
97,4,6,1,0,0
63,10,12,5,1,1
85,0,4,0,0,0
32,1,4,2,0,0
87,23,3,3,0,0
33,0,1,4,0,0
67,18,22,2,0,0
18,1,3,6,1,0
25,20,23,4,0,0
95,19,22,5,1,1
54,22,2,2,0,0
58,20,22,3,0,1
67,23,0,5,1,0
46,3,7,0,0,0
24,11,14,4,0,0
32,21,23,4,0,1
47,19,22,0,0,1
86,17,20,6,1,1
23,0,3,4,0,0
66,0,3,5,1,0
27,23,0,1,0,0
2,13,15,6,1,0
90,3,7,0,0,0
17,4,6,3,0,0
33,10,12,6,1,1
9,23,1,2,0,0
43,22,2,2,0,0
48,12,14,0,0,0
39,15,19,1,0,0
93,23,3,5,1,0
42,12,13,3,0,0
26,23,2,2,0,0
99,21,1,2,0,0
50,1,4,5,1,0
25,15,17,1,0,0
24,5,8,4,0,0
13,13,16,6,1,1
60,0,3,0,0,0
7,16,18,1,0,1
57,10,12,1,0,0
36,18,22,1,0,0
45,2,6,1,0,0
20,10,11,4,0,1
65,4,6,5,1,0
8,16,17,3,0,0
16,21,23,6,1,1
14,6,9,1,0,0
76,9,10,6,1,1
87,10,11,1,0,0
15,2,3,0,0,0
92,19,21,2,0,1
98,9,13,4,0,0
66,9,10,1,0,0
32,13,17,3,0,1
87,11,13,3,0,0
63,14,15,3,0,0
86,9,11,0,0,1
51,9,13,3,0,0
25,18,22,5,1,1
58,0,1,0,0,0
63,23,3,4,0,0
62,9,12,3,0,1
22,1,4,2,0,0
58,16,17,1,0,0
58,23,1,4,0,0
86,6,8,5,1,1
49,6,8,2,0,0
52,19,22,4,0,0
42,8,12,5,1,1
70,21,0,3,0,1
15,1,5,4,0,0
54,13,16,4,0,0
60,16,18,4,0,0
97,0,2,0,0,0
8,8,10,2,0,1
53,19,20,6,1,0
60,20,21,5,1,1
5,18,22,3,0,1
68,3,4,1,0,0
6,7,10,3,0,0
96,12,15,3,0,1
94,3,7,0,0,1
47,8,12,0,0,1
99,8,10,4,0,1
55,21,22,3,0,1
40,17,19,2,0,1
52,11,12,0,0,0
16,9,10,5,1,0
13,10,14,0,0,0
30,6,8,2,0,0
19,8,10,0,0,0
17,5,6,6,1,0
63,18,19,2,0,1
19,15,19,6,1,0
92,14,17,6,1,1
58,6,8,1,0,0
55,15,17,2,0,0
90,4,8,1,0,0
90,15,19,5,1,0
62,0,2,4,0,0
23,18,20,4,0,1
9,4,5,6,1,0
12,6,9,0,0,0
1,18,20,2,0,0
58,21,1,0,0,0
1,4,5,2,0,0
34,16,17,0,0,0
96,21,1,4,0,0
48,7,11,5,1,0
89,0,1,4,0,0
1,1,5,0,0,0
16,14,15,2,0,1
61,19,23,3,0,0
64,17,18,5,1,1
63,10,12,2,0,1
69,9,11,0,0,0
22,23,3,2,0,0
93,23,2,1,0,0
67,3,5,2,0,0
76,4,5,4,0,0
26,3,6,6,1,1
16,12,13,4,0,1
51,12,13,1,0,0
86,17,19,5,1,1
57,23,3,2,0,0
29,1,5,5,1,1
78,15,16,3,0,0
92,0,2,2,0,0
69,18,19,4,0,1
47,8,11,6,1,1
94,2,3,4,0,0
62,6,8,5,1,1
69,9,10,0,0,1
76,0,2,4,0,0
16,9,13,0,0,0
90,20,22,4,0,1
90,8,11,4,0,1
48,14,16,6,1,1
85,14,17,3,0,1
39,2,5,0,0,0
100,4,5,0,0,0
33,8,11,4,0,1
94,21,23,0,0,0
23,8,12,4,0,1
10,22,0,4,0,0
69,6,10,5,1,0
100,23,2,2,0,0
34,22,23,0,0,0
52,11,14,6,1,0
95,8,11,1,0,1
10,5,9,5,1,0
19,22,0,0,0,0
58,1,2,6,1,0
96,8,9,0,0,0
1,16,17,3,0,0
69,0,1,1,0,1
4,18,20,1,0,1
16,5,6,6,1,1
24,4,8,3,0,0
80,1,5,3,0,0
2,8,9,0,0,0
92,13,14,2,0,0
32,3,5,6,1,0
91,3,5,3,0,0
84,20,21,1,0,1
24,14,16,6,1,1
12,7,10,1,0,0
50,3,4,0,0,0
35,15,17,6,1,0
33,20,0,2,0,1
33,3,4,4,0,0
61,15,16,6,1,0
51,21,1,3,0,0
43,11,15,3,0,0
12,15,17,0,0,1
67,18,22,5,1,1
65,7,10,5,1,0
33,5,6,2,0,0
40,9,12,1,0,0
74,4,6,1,0,0
43,17,21,4,0,0
44,9,10,1,0,1
29,9,13,5,1,1
13,6,10,5,1,1
12,17,19,3,0,0
95,0,2,4,0,0
46,6,8,2,0,0
2,20,22,4,0,0
35,0,1,6,1,1
87,14,17,2,0,0
81,3,6,5,1,0
90,19,20,1,0,0
8,9,13,0,0,0
93,22,23,4,0,0
26,8,11,4,0,0
74,1,4,3,0,0
90,13,14,3,0,0
34,15,17,5,1,0
7,0,4,2,0,0
68,1,2,0,0,0
58,6,9,6,1,0
75,9,11,3,0,1
29,21,1,3,0,1
36,19,22,1,0,1
89,0,4,1,0,0
21,12,14,5,1,1
36,0,3,5,1,1
10,4,6,3,0,0
73,15,16,2,0,0
24,14,15,6,1,1
64,16,20,0,0,0
99,22,0,3,0,0
49,15,17,2,0,0
99,12,16,2,0,0
36,10,14,3,0,0
82,16,20,2,0,0
96,16,17,4,0,0
24,1,5,2,0,1
23,12,13,3,0,1
62,13,17,2,0,0
96,10,12,6,1,1
37,9,11,3,0,1
12,2,6,1,0,0
55,16,20,3,0,0
13,14,15,2,0,1
23,8,11,3,0,0
89,9,10,0,0,0
99,7,9,3,0,0
30,20,0,3,0,0
17,12,14,0,0,1
62,17,20,0,0,1
84,4,5,0,0,0
89,5,7,5,1,1
86,16,17,4,0,0
13,10,14,5,1,1
59,19,21,3,0,1
19,15,18,5,1,0
49,8,9,5,1,1
100,1,2,0,0,0
12,4,7,0,0,0
61,0,2,1,0,0
19,3,5,5,1,0
76,3,4,4,0,0
9,21,0,3,0,0
71,2,3,6,1,0
28,8,9,6,1,1
78,21,1,2,0,0
95,22,0,4,0,1
52,11,13,4,0,1
83,9,13,1,0,1
16,1,3,3,0,0
69,10,12,3,0,0
99,9,11,0,0,0
12,21,0,0,0,1
25,5,9,4,0,0
52,17,18,1,0,0
85,1,4,3,0,0
100,1,2,1,0,0
53,9,13,2,0,0
23,15,19,6,1,0
16,11,15,3,0,0
57,0,2,0,0,0
39,20,23,4,0,0
53,7,11,1,0,0
42,15,16,6,1,0
58,17,19,6,1,1
39,12,14,6,1,0
14,14,17,0,0,1
95,20,23,4,0,1
5,11,14,0,0,0
35,7,9,3,0,0
87,9,13,1,0,1
93,13,14,2,0,0
75,4,8,5,1,0
18,17,18,6,1,1
76,18,22,0,0,0
9,14,17,5,1,0
74,5,6,1,0,0
58,10,12,3,0,1
17,20,21,0,0,0
7,10,12,3,0,0
46,19,23,2,0,1
13,19,22,6,1,1
40,20,21,2,0,1
42,17,19,6,1,1
9,17,21,4,0,1
50,9,12,4,0,1
27,1,4,4,0,0
66,8,11,3,0,1
5,13,17,4,0,0
29,18,22,1,0,1
37,9,13,5,1,1
38,22,1,5,1,0
83,3,4,3,0,1
8,5,7,3,0,0
65,13,17,4,0,1
86,3,4,6,1,1
17,14,16,5,1,0
71,15,18,5,1,0
89,6,7,4,0,1
45,16,19,3,0,1
4,18,20,2,0,1
36,18,22,6,1,0
70,16,19,2,0,0
31,5,6,4,0,0
19,10,14,2,0,1
61,15,16,1,0,0
54,7,9,1,0,1
39,10,12,1,0,0
91,6,10,3,0,0
74,23,0,3,0,1
90,21,22,3,0,0
19,18,19,3,0,0
39,9,10,3,0,0
67,8,10,4,0,1
45,3,4,2,0,0
13,22,0,4,0,0
92,14,15,2,0,0
58,12,13,4,0,0
20,1,4,1,0,0
92,1,4,0,0,0
72,15,16,3,0,0
61,8,10,0,0,1
39,12,13,0,0,0
1,2,5,1,0,0
3,8,9,0,0,1
77,12,15,0,0,0
92,20,21,1,0,1
62,21,1,2,0,0
63,1,2,4,0,0
25,7,9,5,1,0
56,8,11,0,0,1
33,15,19,3,0,0
38,1,4,1,0,0
6,5,8,6,1,0
58,21,23,6,1,1
44,7,8,0,0,0
45,4,6,5,1,0
32,8,9,2,0,1
45,0,4,2,0,0
61,8,10,5,1,1
47,9,11,3,0,0
21,22,1,0,0,0
80,3,5,3,0,1
85,2,3,2,0,1
75,9,11,6,1,1
36,14,16,2,0,1
99,10,14,4,0,0
19,13,14,2,0,1
20,5,8,1,0,0
57,11,12,4,0,0
18,12,16,3,0,0
47,16,17,2,0,0
49,15,16,5,1,0
14,2,4,1,0,0
15,1,3,4,0,0
31,10,11,1,0,0
1,8,9,4,0,1
54,2,5,4,0,0
3,17,21,4,0,0
16,19,21,5,1,0
87,14,16,3,0,0
57,13,15,4,0,1
75,1,3,4,0,0
12,16,17,1,0,0
74,21,22,4,0,0
96,7,10,3,0,0
16,9,11,6,1,1
72,17,19,5,1,1
76,18,19,5,1,0
24,7,10,1,0,0
28,7,8,6,1,0
8,2,4,4,0,0
92,2,4,1,0,0
36,11,15,5,1,0
90,21,1,3,0,0
8,16,20,1,0,0
58,3,6,3,0,0
60,16,17,6,1,1
50,13,15,6,1,1
28,18,20,2,0,1
92,8,11,4,0,0
41,20,22,3,0,1
100,11,13,4,0,0
64,4,5,6,1,0
27,10,14,3,0,0
63,19,23,0,0,1
17,2,5,6,1,1
73,20,0,0,0,1
33,14,18,0,0,0
84,13,16,6,1,1
77,10,13,3,0,0
92,19,23,5,1,1
29,7,8,5,1,0
13,3,6,4,0,0
46,11,13,0,0,0
35,7,10,4,0,0
6,5,7,3,0,0
82,14,17,4,0,0
69,11,14,4,0,0
47,15,19,0,0,0
25,15,19,6,1,1
66,20,0,5,1,1
10,19,20,1,0,0
56,19,23,2,0,0
30,3,7,3,0,0
5,10,13,3,0,1
33,12,15,3,0,1
65,8,9,2,0,1
18,3,5,1,0,0
96,11,14,5,1,0
49,8,11,4,0,1
11,12,14,5,1,1
85,15,16,3,0,0
26,5,8,4,0,0
63,9,13,0,0,0
89,12,13,5,1,0
86,6,8,0,0,0
59,18,20,0,0,1
27,23,3,6,1,0
49,18,22,5,1,0
77,16,20,3,0,0
33,12,13,2,0,1
98,12,14,3,0,1
99,20,0,0,0,1
1,1,5,0,0,0
21,9,11,3,0,0
55,21,0,2,0,0
6,12,13,2,0,1
92,8,11,6,1,0
81,0,4,4,0,0
69,13,14,1,0,1
95,15,18,0,0,0
5,19,21,2,0,1
3,14,18,5,1,1
53,0,1,6,1,0
23,16,17,0,0,0
53,23,0,1,0,0
37,12,13,5,1,1
74,14,18,0,0,1
74,15,19,6,1,0
83,15,17,6,1,0
17,1,3,2,0,0
85,16,18,4,0,0
78,10,13,3,0,0
73,7,9,6,1,0
1,19,23,5,1,1
51,2,5,3,0,0
45,11,15,2,0,0
77,19,22,2,0,0
4,15,17,5,1,0
62,13,15,1,0,1
65,15,17,6,1,0
32,20,23,5,1,1
34,16,20,0,0,0
92,10,11,1,0,0
95,16,20,3,0,0
72,18,20,0,0,1
39,21,0,1,0,0
26,0,3,3,0,0
34,11,13,0,0,0
54,14,17,4,0,0
3,17,19,6,1,1
50,22,2,5,1,0
12,13,16,5,1,1
65,0,1,5,1,0
54,12,15,4,0,0
5,14,16,6,1,1
94,6,7,1,0,1
94,14,16,6,1,1
57,19,22,2,0,1
17,9,10,0,0,1
47,13,14,1,0,1
23,5,8,2,0,0
79,13,14,5,1,1
85,23,3,5,1,0
14,21,22,5,1,1
66,11,12,2,0,1
75,10,14,0,0,1
51,19,21,0,0,1
38,21,23,2,0,0
64,23,3,3,0,1
98,18,19,5,1,1
38,1,4,1,0,0
50,21,1,0,0,0
98,19,22,6,1,1
82,0,2,2,0,0
30,7,11,3,0,0
79,13,16,4,0,1
91,8,9,2,0,1
51,1,5,6,1,0
63,22,1,3,0,0
98,4,8,4,0,1
52,22,2,3,0,0
38,7,9,0,0,0
97,15,17,2,0,0
88,21,22,6,1,1
79,15,17,4,0,0
30,12,14,3,0,0
51,19,21,4,0,1
81,14,17,1,0,0
5,0,4,6,1,1
29,21,23,2,0,0
4,2,5,0,0,0
10,5,9,4,0,0
56,21,23,5,1,0
17,13,15,3,0,0
74,3,7,5,1,1
17,17,20,4,0,0
84,14,17,6,1,1
88,8,9,5,1,1
69,17,21,3,0,1
34,2,3,4,0,0
6,9,12,0,0,0
53,16,18,0,0,0
66,6,7,2,0,0
77,14,17,0,0,0
43,0,3,4,0,0
75,10,12,6,1,1
23,16,20,4,0,0
55,4,7,0,0,0
80,6,7,1,0,0
95,18,20,4,0,1
75,23,3,2,0,0
16,14,18,1,0,0
8,2,6,0,0,0
4,14,17,6,1,1
4,4,8,3,0,0
56,22,1,4,0,0
25,11,13,3,0,0
67,19,21,5,1,0
96,4,8,2,0,0
67,2,4,1,0,0
27,8,9,3,0,0
93,8,9,2,0,0
32,6,9,3,0,0
50,1,5,3,0,0
61,22,1,2,0,0
51,22,0,4,0,0
19,20,0,3,0,0
21,15,18,2,0,0
5,8,12,3,0,0
82,12,16,6,1,1
92,18,21,4,0,0
42,19,23,6,1,1
61,16,18,6,1,1
22,5,6,2,0,0
21,3,4,6,1,1
70,0,4,3,0,0
1,17,18,0,0,0
5,18,22,4,0,0
12,8,11,3,0,1
90,12,14,1,0,0
46,7,8,2,0,0
34,22,1,3,0,0
49,12,14,4,0,0
78,14,15,6,1,0
90,10,11,4,0,1
45,11,13,1,0,0
27,13,16,6,1,0
73,3,6,1,0,0
26,0,1,5,1,0
47,23,1,5,1,0
86,3,6,3,0,0
56,18,20,0,0,0
94,8,10,6,1,1
63,9,10,4,0,1
48,3,5,0,0,1
61,19,21,6,1,1
81,8,12,6,1,0
26,12,14,6,1,1
36,11,14,6,1,1
1,10,11,0,0,1
8,11,12,3,0,0
99,17,19,2,0,1
52,11,13,2,0,0
79,15,18,2,0,0
47,4,8,1,0,1
56,19,20,6,1,1
86,11,15,6,1,0
14,20,23,4,0,0
90,10,11,1,0,1
28,8,11,4,0,1
87,17,19,5,1,1
78,2,5,4,0,0
88,19,21,4,0,1
2,16,20,3,0,0
26,13,14,2,0,1
14,0,1,6,1,0
59,16,20,1,0,0
56,7,9,5,1,0
7,4,5,1,0,0
3,4,7,6,1,0
23,8,10,3,0,1
18,2,3,4,0,0
38,18,21,5,1,0
99,22,1,2,0,0
15,8,9,6,1,1
64,21,1,0,0,1
89,17,21,0,0,0
28,15,16,3,0,0
74,0,3,2,0,0
39,1,5,0,0,0
57,13,17,0,0,1
17,13,17,6,1,1
86,0,2,5,1,1
90,15,19,5,1,0
44,14,15,6,1,0
25,14,15,1,0,1
17,11,13,6,1,1
13,15,17,2,0,1
84,13,14,0,0,0
25,23,1,5,1,1
68,14,18,6,1,1
10,22,1,5,1,0
67,14,17,5,1,1
18,18,21,1,0,0
100,7,8,2,0,0
86,1,3,4,0,0
34,1,4,5,1,0
8,9,13,2,0,1
40,2,6,3,0,0
83,22,2,1,0,0
42,16,18,4,0,1
41,7,10,5,1,0
6,22,2,6,1,1
52,3,5,5,1,1
26,13,17,1,0,0
64,20,23,1,0,0
98,9,12,0,0,1
59,0,3,5,1,0
56,3,6,2,0,0
59,0,3,1,0,0
70,16,20,1,0,0
33,16,19,3,0,0
53,6,10,3,0,1
22,22,1,3,0,0
21,19,23,1,0,1
70,14,17,4,0,0
70,12,16,2,0,0
4,1,4,1,0,0
94,18,20,6,1,1
75,23,3,6,1,0
62,12,14,0,0,1
62,23,3,6,1,0
94,10,14,5,1,1
95,21,1,4,0,0
24,14,15,4,0,0
55,9,12,2,0,0
9,8,10,4,0,0
3,8,10,2,0,0
31,19,23,6,1,0
40,0,2,4,0,0
36,16,18,5,1,0
24,11,13,2,0,0
95,9,11,3,0,0
6,4,5,3,0,0
66,17,21,4,0,0
84,14,16,4,0,0
92,5,6,6,1,0
75,6,7,2,0,0
4,16,20,6,1,0
79,5,8,2,0,0
6,7,10,5,1,0
94,11,14,1,0,0
51,20,22,3,0,1
62,13,17,1,0,0
57,11,14,1,0,0
66,22,0,0,0,0
79,9,13,2,0,1
75,21,23,0,0,0
8,19,22,0,0,1
26,14,17,1,0,1
51,6,7,0,0,1
45,8,9,5,1,1
44,9,13,2,0,1
5,9,11,1,0,0
70,15,17,2,0,0
26,6,9,5,1,0
68,4,7,4,0,0
19,22,2,0,0,0
84,2,3,1,0,0
97,17,20,3,0,1
20,10,12,2,0,1
12,14,17,6,1,0
47,20,21,5,1,0
1,19,21,0,0,0
90,4,5,2,0,0
14,23,3,5,1,0
64,11,15,2,0,0
38,3,4,4,0,0
37,14,16,6,1,0
11,8,9,5,1,1
100,6,9,2,0,0
77,9,12,6,1,0
3,22,23,4,0,0
33,12,15,4,0,1
6,7,8,4,0,0
50,11,14,0,0,0
10,21,22,5,1,1
5,23,2,2,0,1
23,18,20,2,0,1
10,0,2,6,1,0
44,15,18,6,1,0
2,21,22,5,1,0
13,16,19,4,0,0
40,17,21,2,0,1
2,10,14,2,0,1
84,17,18,4,0,0
65,6,9,3,0,1
63,17,20,3,0,1
73,7,9,4,0,0
17,5,6,6,1,1
9,6,10,0,0,0
75,22,2,6,1,0
15,21,22,6,1,0
24,9,13,2,0,1
38,10,11,6,1,1
35,12,16,2,0,0
94,8,12,3,0,0
95,6,7,6,1,1
49,8,9,4,0,0
69,12,16,5,1,0
62,2,6,5,1,0
60,2,4,6,1,1
50,0,3,0,0,0
78,20,21,6,1,1
75,19,20,4,0,1
9,1,4,3,0,0
34,2,4,3,0,0
76,14,18,6,1,1
99,23,3,2,0,1
35,5,7,1,0,0
1,12,14,0,0,1
40,20,23,0,0,1
64,0,3,1,0,0
22,19,23,5,1,0
60,18,20,5,1,1
64,0,2,5,1,1
93,20,0,3,0,1
72,21,1,4,0,0
11,1,5,0,0,0
14,14,18,1,0,0
60,13,17,2,0,0
30,18,21,6,1,1
35,10,14,2,0,1
85,14,16,6,1,1
37,5,6,3,0,0
5,19,22,0,0,0
83,8,10,4,0,1
78,4,5,0,0,0
26,19,22,6,1,1
62,1,5,5,1,0
4,5,8,2,0,0
89,17,21,0,0,1
42,22,2,2,0,0
89,18,22,1,0,0
18,8,9,1,0,0
40,20,23,2,0,0
72,23,3,4,0,0
39,5,7,4,0,0
14,13,16,0,0,1
32,23,1,2,0,0
51,12,13,3,0,1
38,10,11,4,0,1
97,11,14,6,1,1
23,18,19,4,0,0
63,18,19,5,1,1
15,20,23,1,0,0
97,18,20,4,0,0
25,23,3,6,1,0
17,12,15,4,0,0
97,13,16,6,1,0
66,23,3,5,1,0
78,17,19,6,1,1
53,11,15,4,0,0
51,3,7,5,1,1
39,9,11,2,0,1
51,16,18,2,0,0
70,3,7,1,0,0
